user_id,first_date,region,device
D72A72121175D8BE,2020-12-07,EU,PC
F1C668619DFE6E65,2020-12-07,N.America,Android
2E1BF1D4C37EA01F,2020-12-07,EU,PC
50734A22C0C63768,2020-12-07,EU,iPhone
E1BDDCE0DAFA2679,2020-12-07,N.America,iPhone
137119F5A9E69421,2020-12-07,N.America,iPhone
62F0C741CC42D0CC,2020-12-07,APAC,iPhone
8942E64218C9A1ED,2020-12-07,EU,PC
499AFACF904BBAE3,2020-12-07,N.America,iPhone
FFCEA1179C253104,2020-12-07,EU,Android
5EB159DA9DC94DBA,2020-12-07,APAC,PC
084A22B980BA8169,2020-12-07,EU,Android
8ACC2420471B31E4,2020-12-07,EU,PC
E6DE857AFBDC6102,2020-12-07,EU,PC
5BE017E9C8CC42F8,2020-12-07,EU,Android
7B6452F081F49504,2020-12-07,EU,iPhone
0FC21E6F8FAA8DEC,2020-12-07,EU,PC
9CD9F34546DF254C,2020-12-07,N.America,iPhone
96F27A054B191457,2020-12-07,EU,iPhone
1FD7660FDF94CA1F,2020-12-07,EU,Android
DD4352CDCF8C3D57,2020-12-07,EU,Android
E6AF85675078215D,2020-12-07,EU,Android
CF3A409ADCA5F68F,2020-12-07,EU,iPhone
831887FE7F2D6CBA,2020-12-07,EU,Android
AD8BFC204C0F14E4,2020-12-07,EU,Android
18BFE6138D1740ED,2020-12-07,APAC,iPhone
6B2F726BFD5F8220,2020-12-07,EU,Android
5C31FA76D6418867,2020-12-07,CIS,PC
160121894010711F,2020-12-07,N.America,iPhone
7713F4DD96975E70,2020-12-07,EU,Android
BEB37715AACF53B0,2020-12-07,EU,Android
BA9A0549BDF2DC7D,2020-12-07,EU,PC
C99BCDCDA7C0A2B5,2020-12-07,EU,PC
914FF952E23F1E75,2020-12-07,EU,PC
C297F41C2EAB90F9,2020-12-07,EU,iPhone
5DFA5DCA1EAB4A61,2020-12-07,EU,PC
B5FA27F582227197,2020-12-07,N.America,Mac
26D11E1624C22789,2020-12-07,EU,iPhone
756030430BF8A8ED,2020-12-07,EU,Mac
4CB179C7F847320B,2020-12-07,EU,iPhone
29C92313A98B1176,2020-12-07,APAC,Android
F9DA742C045C0540,2020-12-07,EU,Android
718AE30161496626,2020-12-07,CIS,Android
12E224E9F736290C,2020-12-07,CIS,Android
A92195E3CFB83DBD,2020-12-07,EU,Android
7D1BFB181017EB46,2020-12-07,CIS,PC
72293AD2DCF3D634,2020-12-07,EU,PC
E2E76A8B3389127C,2020-12-07,EU,iPhone
CDC3949A0F713D89,2020-12-07,EU,PC
C8D792687FC90372,2020-12-07,EU,PC
10B478AFB18AFF23,2020-12-07,EU,PC
354D653172FF2A2D,2020-12-07,EU,Mac
4F08EA0399B1A617,2020-12-07,EU,Android
7EDF3CF92F833BC7,2020-12-07,EU,iPhone
7FCD34F47C13A9AC,2020-12-07,EU,PC
76C343AEDA28AF61,2020-12-07,EU,PC
0313C457F07C339E,2020-12-07,EU,Mac
711408AF2CE259F9,2020-12-07,EU,PC
214902A9BAAF3422,2020-12-07,EU,Android
C8B2854BE626E827,2020-12-07,EU,Android
AE6B95B9A7C6380E,2020-12-07,N.America,Android
A1CFD04AF431A202,2020-12-07,EU,Mac
F0EA35481B77EE34,2020-12-07,N.America,Mac
114953E781C03385,2020-12-07,EU,iPhone
D821299DFF3CED91,2020-12-07,N.America,Android
16C69ED14DA9F4A8,2020-12-07,EU,PC
EC9AFCC18F1CF6D9,2020-12-07,EU,Mac
C0D574D58B8BEFC2,2020-12-07,EU,PC
11E73200E70589A8,2020-12-07,CIS,Android
3C5DD0288AC4FE23,2020-12-07,EU,PC
CF454CE66EA8AF04,2020-12-07,EU,Android
3E90A4CA2F922CE4,2020-12-07,EU,PC
95AB4B08CCDF772D,2020-12-07,N.America,PC
649ECF69EC552A56,2020-12-07,EU,Mac
42842118597F2D27,2020-12-07,N.America,PC
25E47F4E8B9DE826,2020-12-07,APAC,Android
F28F9016A90161CD,2020-12-07,N.America,Mac
D415B6927F1964E1,2020-12-07,EU,Android
94AD7C3D2F43FD7B,2020-12-07,N.America,PC
05AAB890585C38F7,2020-12-07,EU,PC
